Accountability,"The responsibility of program managers and staff to provide evidence to stakeholders and funding agencies that a program is effective and in conformance with its coverage, service, legal, and fiscal requirements.",,https://www.cdc.gov/evaluation/guide/glossary/index.htm
Accuracy,"The extent to which an evaluation is truthful or valid in what it says about a program, project, or material.",,https://www.cdc.gov/evaluation/guide/glossary/index.htm
Accuracy Standards (A),"The accuracy standards are intended to increase the dependability and truthfulness of evaluation representations, propositions and findings, especially those that support interpretations and judgments about quality.",,https://evaluationcanada.ca/career/evaluation-standards.html
Action Research,A participatory research method where practitioners systematically investigate their own practice to improve it.,"Empowers educators to apply research directly to their work, fostering continuous improvement and professional growth.",https://link-springer-com.myaccess.library.utoronto.ca/content/pdf/10.1007/s11528-022-00744-7.pdf
Active Stakeholder Engagement,"The active involvement of stakeholders in various stages of the evaluation, from planning to data collection to reporting.","Promotes greater buy-in, relevance, and utility of the evaluation findings.",https://www-sciencedirect-com.myaccess.library.utoronto.ca/science/article/pii/S0149718911001194?via%3Dihub
Activities,The actual events or actions that take place as a part of the program.,,https://www.cdc.gov/evaluation/guide/glossary/index.htm
Adolescent Empowerment,The process of enabling adolescents to take control of their lives and make informed decisions about their future.,"Encourages independence and self-confidence, preparing youth for adult responsibilities.",https://link-springer-com.myaccess.library.utoronto.ca/content/pdf/10.1007/s10803-017-3317-8.pdf
Advocacy Strategy,"Actions aimed at influencing public policy, resource allocation decisions, and social attitudes to promote a particular cause or proposal.",Utilizes strategic actions to bring about systemic change and support program goals.,https://www-tandfonline-com.myaccess.library.utoronto.ca/doi/pdf/10.1300/J147v29n02_06?needAccess=true
Agency Theory,"A theory that examines the relationship between principals (funders) and agents (nonprofits), focusing on issues of trust and information asymmetry.",Highlights the need for monitoring and accountability mechanisms to ensure agents act in the best interest of principals.,https://www-tandfonline-com.myaccess.library.utoronto.ca/doi/pdf/10.2753/PMR1530-9576340302?needAccess=true
Alumni Mentoring,"A formal mentoring program that connects current students with alumni to provide career guidance, life skills, and professional development.",Leverages the experience of alumni to support student growth and foster a strong school-community connection.,https://www-tandfonline-com.myaccess.library.utoronto.ca/doi/pdf/10.1080/10437797.2020.1817820?needAccess=true
Approach,The method or strategy used to address a specific task or problem.,Selecting the right approach ensures that the evaluation or program activities are carried out effectively and efficiently.,https://evaluationcanada.ca/career/what-is-evaluation.html
